latin_name,english_name,french_name,url,light_from,light_to,bloom_start,bloom_end,soil_humidity_min,soil_humidity_max,min_height,max_height,size,stratification_detail,stratification_duration,sowing_depth,sowing_period,sharing_priority,harvesting_start,harvesting_end,harvesting_indicator,harvesting_mean,seed_head,remove_non_seed_material,viability_test,seed_storage,one_cultivar,packaging_measure,dormancy,seed_preparation,hyperlink,envelope_label_link,harvesting_video_link,seed_picture_link,pods_seed_head_picture_link,seed_storage_label_info,notes,germinate_easy,rock_garden,rain_garden,pond_edge,shoreline_rehab,container_suitable,ground_cover,garden_edge,woodland_garden,wind_break_hedge,erosion_control
Alnus incana,Grey alder ,Aulne blanc,https://gobotany.nativeplanttrust.org/species/alnus/incana/,Full Sun,Part Shade,4,5,Medium,Wet,480,720,"40-60’ tall, 30-50’ wide",Cold moist 60d,60,¼”,,"2 - Give us seeds in second priority, after donating priority 1 seeds first",9,8,Pods are released from plant,Use hand to detach from main stem,Pod,,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded 1/32 teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=ALNUS%20INCANA,https://docs.google.com/document/d/1SoBm07-H797mTvC8R7VlLf6419brLhgAuSOHw4WmD9k/edit?usp=sharing,,,,,Collect only fully ripe catkins that have started to open to release the seeds.,,,,,,,,,,,
Amorpha canescens,Downy false indigo or Leadplant,Faux-indigo blanchissant,https://www.prairiemoon.com/amorpha-canescens-lead-plant-prairie-moon-nursery.html,Full Sun,,7,8,Dry,Medium,24,36,"2-3’ tall, 2-2.5’ wide",Cold moist 10d,10,,,1 - Give in priority,10,12,Pods are slightly open and seeds inside are dark,Use hand to detach from main stem,Pod,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded 1/32 teaspoon,,Hull or scarify seeds,,https://docs.google.com/document/d/1C9VqB5NkLrEZPjV_FT-TC32yuna_irkzC_894jpQqvw/edit?usp=sharing,,,,,,,,,,,,,,,,
Amphicarpaea bracteata,American hog peanut ,Amphicarpe bractéolée,https://illinoiswildflowers.info/savanna/plants/hog_peanut.html,Full Sun,Full Shade,8,9,Medium,Wet,,60,Up to 5’ long,,,,Direct sow in late spring in warm soil,1 - Give in priority,10,12,"Pods are brown and crisp and starting to open, seeds are dark and tiny stem attaching to the main stem is brown. Seeds easily fall off pod when shaken, and little stem connecting the pod to the main stem is brown (not green)",Use hand to detach from main stem,Pod,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ⅛ teaspoon,,Pre-soak for 12 hours in warm water,https://wildplantsfromseed.com/html/speciesdata.php?name=AMPHICARPAEA%20BRACTEATA,https://docs.google.com/document/d/1n6d1T3xt_CbwtqOyCuc-nji4W_wNC-kUT052Jm4nNLA/edit?usp=sharing,,,,,,,,,,,,,,,,
Anaphalis margaritacea,Pearly everlasting ,Immortelle blanche,https://www.prairiemoon.com/anaphalis-margaritacea-pearly-everlasting,Full Sun,Part Shade,7,8,Medium,,12,36,"1-3’ tall, 1-2’ wide",Cold moist 30d,30,Surface,,"No thanks, we have enough already",10,11,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Use hand to detach from main stem,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",A dozen (12) seeds (eyeball),,,https://wildplantsfromseed.com/html/speciesdata.php?name=ANAPHALIS%20MARGARITACEA,https://docs.google.com/document/d/1j7xVCDBlZH93oAUmfEdxBSyDSn9YYhklADK2ZKH-9zw/edit,https://www.youtube.com/watch?v=p1Kn8thn5QQ,,,,Need a male and a female to have seeds,1,,,,,1,,,,,
Andropogon gerardi,Big bluestem ,Barbon de Gérard,https://www.prairiemoon.com/andropogon-gerardii-big-bluestem-prairie-moon-nursery.html,Full Sun,Part Shade,6,9,Dry,Medium,48,84,"4-7’ tall, 2-3’ wide",,,Just below surface,Direct sow in late spring in warm soil,1 - Give in priority,10,10,Seeds easily fall off when you gently pull them off,Use hand to detach from main stem,Head,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ¼ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=ANDROPOGON%20GERARDII,https://docs.google.com/document/d/1VlOXiaWdjgaW091jaC2kmwa5V8KGEJU8sI-3NpVVl-k/edit#,,,,,,1,,,,,,,,,,
Anemonastrum canadense,Canada anemone,Anémone du Canada,https://www.prairiemoon.com/anemone-canadensis.html,Full Sun,Part Shade,5,6,Medium,Wet,12,48,"1-2’ tall, 2-3’ wide",,,⅛”,,"2 - Give us seeds in second priority, after donating priority 1 seeds first",8,9,Seeds easily fall off when you gently pull them off,Use hand to detach from main stem,Head,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ¼ teaspoon,Might need double dormancy,,https://wildplantsfromseed.com/html/speciesdata.php?name=ANEMONE%20CANADENSIS,https://docs.google.com/document/d/1IfveeJFxAvQmmiTKSq45gvd-EqOKEYpD/edit#,,,,,Can be both male and female or only male and only female.,,,,,,1,,,,,
Anemone parviflora,Small-flowered anemone ,Anémone à petites fleurs,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=299999,Full Sun,,6,8,Medium,,6,9,"0.5-0.75’ tall, 0.5-0.75’ wide",,,,,1 - Give in priority,8,10,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Use hand to detach from main stem,Head,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",A dozen (12) seeds (eyeball),,,,https://docs.google.com/document/d/1RGYogvyDkiAENFl2rGZO4XzBhSjkns-lvRBiA1iWeLI/edit?usp=sharing,,,,,,,1,,,,,,,,,
Anemone virginiana,Tall anemone,Anémone de Virginie,https://www.prairiemoon.com/anemone-virginiana.html,Full Sun,Full Shade,5,6,Dry,Medium,12,24,"1-2’ tall, 1-1.5’ wide",Cold moist 60d,60,Surface,,"2 - Give us seeds in second priority, after donating priority 1 seeds first",8,8,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Use hand to detach from main stem,Head,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ¼ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=ANEMONE%20VIRGINIANA,https://docs.google.com/document/d/1gqHevkq3sxKsSXEk9fztacX1xb8JfhTmzlirHZVZXA0/edit,,,,,,,,,,,,,,,,
Angelica atropurpurea,Purple-stemmed angelica ,Angélique pourpre,https://www.prairiemoon.com/angelica-atropurpurea.html,Full Sun,Part Shade,5,6,Medium,Wet,,84,"7’ tall, 3-4’ wide",,,Surface,,1 - Give in priority,8,9,"Pods are brown and crisp and starting to open, seeds are dark and tiny stem attaching to the main stem is brown. Seeds easily fall off pod when shaken, and little stem connecting the pod to the main stem is brown (not green)",Use hand to detach from main stem,Pod,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ¼ teaspoon,Double dormancy,,https://wildplantsfromseed.com/html/speciesdata.php?name=ANGELICA%20ATROPURPUREA,https://docs.google.com/document/d/1iY6GyoctbN8HpWUSGWr9o80L3qgWH8DKS4BB6V1Uj-Y/edit,,,,,Give seeds away so that they be sown as close to harvesting time as possible,,,,,,,,,,,
Antennaria howellii,Howell's pussytoes ,Antennaire de Howell,https://www.minnesotawildflowers.info/flower/howells-pussytoes,Full Sun,Part Shade,5,6,Dry,,3,14,"3-14” tall, 6-9” wide",Cold moist 60d,60,Surface,,1 - Give in priority,7,9,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Use hand to detach from main stem,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ¼ teaspoon,,,,https://docs.google.com/document/d/1hYZcqx7Qg7GCAlZvt2SD2tiJbWJuaBbSzgpg2HAgzDY/edit?sharingaction=ownershiptransfer,,,,,,1,,,,,,,,,,
Antennaria neglecta,Field pussytoes ,Antennaire négligée,https://www.prairiemoon.com/antennaria-neglecta.html,Full Sun,Part Shade,4,6,Dry,Medium,6,12,"0.5-1’ tall, 0.5-1’ wide",Cold moist 60d,60,Surface,,1 - Give in priority,6,6,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Use hand to detach from main stem,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ¼ teaspoon,,,https://gobotany.nativeplanttrust.org/species/antennaria/neglecta/,https://docs.google.com/document/d/1Gw3EJk0fpvMeOlpJgCq-WEzYB00kHcAIB7cprdlrLCg/edit,https://drive.google.com/file/d/1NLqmUvBDMoY0BvLaqNjXi54SIXgFqjoU/view?usp=sharing,,,,There are male and female of this species. Need both to produce seeds.,1,,,,,,1,,,,
Antennaria parlinii,Parlin's pussytoes ,Antennaire de Parlin,https://www.prairiemoon.com/antennaria-parlinii-parlins-pussy,Full Sun,Part Shade,4,6,Dry,Medium,6,12,"0.5-1’ tall, 0.5-1.5’ wide",Cold moist 60d,60,Surface,,1 - Give in priority,6,8,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Use hand to detach from main stem,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded 1/32 teaspoon,,,,https://docs.google.com/document/d/1B1kRapi6f3z4a81Tog42HpyDbPiShU2eHLedN4XiA38/edit?sharingaction=ownershiptransfer#heading=h.apeixhfw30h2,,,,,,,,,,,,,,,,
Aquilegia canadensis,Red columbine ,Ancolie du Canada,https://www.prairiemoon.com/aquilegia-canadensis.html,Full Sun,Full Shade,4,5,Medium,,24,36,"2-3’ tall, 1-1.5’ wide",Cold moist 60d,60,⅛”,,"No thanks, we have enough already",6,7,"Pods are brown and crisp and starting to open, seeds are dark and tiny stem attaching to the main stem is brown. Seeds easily fall off pod when shaken, and little stem connecting the pod to the main stem is brown (not green)","Cut stem (including pods), let air dry in paper bag, then shake seeds off after a few days",Head,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ⅛ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=AQUILEGIA%20CANADENSIS,https://docs.google.com/document/d/13pc1Z_CP_O4r08W7DJF4VkU1ZDdfkFXiZ5O0dnqz3Jk/edit?usp=sharing,https://www.youtube.com/watch?v=j_58KiuZoeQ&t=5s,https://drive.google.com/file/d/1UCCkzcI4xEJI8kEdbOORsILbTXadaZ7x/view?usp=sharing,https://drive.google.com/file/d/1XuBXd6DGinSBq7nfTfeXZVJtQGxcjvfx/view?usp=sharing,,,1,,,,,1,,,,,
Aralia racemosa,American spikenard ,Aralie à grappes,https://www.prairiemoon.com/aralia-racemosa-spikenard-prairie-moon-nursery.html,Part Shade,,7,8,Medium,,3,5,"3-5’ tall, 3-5’ wide",Cold moist 60d,60,¼”,,"No thanks, we have enough already",9,9,Berries are ripen and easily fall off or have fallen off,"Put berries through strainer to separate seeds, then rinse with water",Berry,Yes,"Put seed in container filled with water. If the seed goes at the bottom of the container, you can donate. If seed floats, do not donate.","Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",Six (6) seeds (eyeball),,Scarify before stratification,https://wildplantsfromseed.com/html/speciesdata.php?name=ARALIA%20RACEMOSA,https://docs.google.com/document/d/1gklvQuymPQ-MPy2ZMjOsq8Z0WZdcFmjaO0JnaMO5kAs/edit?usp=sharing,,,,Keep seeds moist in fridge,Wear gloves for seed harvest since the flesh contains chemicals that are poisons and/or severe skin irritants. Seeds need scarification if not kept moisten and cool until sowing,,,,,,,,,,,
Arisaema triphyllum,Jack-in-the-pulpit,Arisème petit-prêcheur,https://www.prairiemoon.com/arisaema-triphyllum-jack-in-the-pulpit-prairie-moon-nursery.html,Part Shade,Full Shade,4,7,Medium,,,24,"2’ tall, 10-18"" wide",,,½”,,1 - Give in priority,8,9,Berries are ripen and easily fall off or have fallen off,"Put berries through strainer to separate seeds, then rinse with water",Berry,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,Double dormancy,,https://wildplantsfromseed.com/html/speciesdata.php?name=ARISAEMA%20TRIPHYLLUM,https://docs.google.com/document/d/1jkxdCOWrMcnAJ6DJ1neHX-RcJ9dpg0mz_9U5v56MqDQ/edit,,,,Keep seeds moist in fridge,Wear gloves when harvesting and handling seeds,,,,,,,,,,,
Armeria maritima,Sea thrift ,Arméria maritime,,Full Sun,,4,5,Dry,,6,12,"0.5-1’ tall, 0.5-1’ wide",,,Surface,Late spring in warm soil,1 - Give in priority,7,9,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Use hand to detach from main stem,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,,,https://docs.google.com/document/d/1fIsq9ca0_b2MDN2BnqPSxOBXSHPSyLXY3A0gX5nYIBY/edit?usp=sharing,,,,,"Each tiny flower on the flower head produces a tiny, pale-brown seed",,,,,,,,,,,
Aronia melanocarpa,Black chokeberry ,Aronie à fruits noirs,https://plants.ces.ncsu.edu/plants/aronia-melanocarpa/,Full Sun,Part Shade,5,,Medium,,36,72,"3-6’ tall, 3-6’ wide",Cold moist 120d,120,Just below surface,,1 - Give in priority,8,9,Berries are ripen and easily fall off or have fallen off,"Put berries through strainer to separate seeds, then rinse with water",Berry,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,Soak for 24h,https://wildplantsfromseed.com/html/speciesdata.php?name=ARONIA%20MELANOCARPA,https://docs.google.com/document/d/1y_w0i4qXQn64s5Iv6W9wQhJHoIy2hBo_topRWzZAPsU/edit#,,,,,See link in column J for seed collection,,,,,,,,,,,
Artemisia campestris,Field wormwood ,Armoise des champs,https://gobotany.nativeplanttrust.org/species/artemisia/campestris/,Full Sun,Part Shade,7,9,Dry,Medium,18,36,1.5-3’ tall,,,Surface,,1 - Give in priority,9,11,Pods are slightly open and seeds inside are dark,"Cut stem (including pods), let air dry in paper bag, then shake seeds off after a few days",Head,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ⅛ teaspoon,,,,https://docs.google.com/document/d/1Sw3uR0MtNZJywrLKdIk1zRWB7avoQAEpmTypz8W9oSU/edit?usp=sharing,,,,,,,,,,,,,,,,
Artemisia ludoviciana,Silver wormwood,Armoise de l'Ouest,https://www.prairiemoon.com/artemisia-ludoviciana-prairie-sage-prairie-moon-nursery.html,Full Sun,Part Shade,7,9,Dry,Medium,36,36,"3’ tall, 1-2’ wide",Cold moist 30d,30,Surface,,1 - Give in priority,9,11,Pods are slightly open and seeds inside are dark,"Cut stem (including pods), let air dry in paper bag, then shake seeds off after a few days",Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,,,https://docs.google.com/document/d/17maPekXm81gIKY1DEHVmItGw3fBVAVthTbZICPegZWs/edit,,,,,,,,,,,,,,,,
Asarum canadense,Canada wild ginger,Asaret du Canada,https://www.wildflower.org/plants/result.php?id_plant=asca,Part Shade,Full Shade,4,5,Medium,,6,12,"0.5-1’ tall, 1-1.5’ wide",,,Just below surface,,1 - Give in priority,6,6,Pods are slightly open and seeds inside are dark,"Open the pod, remove seeds",,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ⅛ teaspoon,Double dormancy,,https://wildplantsfromseed.com/html/speciesdata.php?name=ASARUM%20CANADENSE,https://docs.google.com/document/d/1RUpHCQ_qEy_V8FTTDXU66bQYyjEkEQPAgxrYJegkos4/edit?usp=sharing,,,,Keep seeds moist in fridge,,,,,,,,,,,,
Asclepias exaltata,Poke milkweed ,Asclépiade très grande,https://www.prairiemoon.com/asclepias-exaltata-poke-milkweed-prairie-moon-nursery.html,Part Shade,Full Shade,6,7,Medium,,36,60,"3-5’ tall, 2-3’ wide",Cold moist 30d,30,Just below surface,,1 - Give in priority,9,10,Pods are slightly open and seeds inside are dark,Use hand to detach from main stem,Fluff,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=ASCLEPIAS%20EXALTATA,https://docs.google.com/document/d/1RskgrNK0tWJ8rI0JY6vn5iQlDonqVSqBjedDJjSGmAE/edit?usp=sharing,,,,,,,,,,,,,,,,
